edad	altura
18            	1.72 
21            	1.9 
45            	1.67 
59            	1.78 
21            	1.86 
22            	1.78 
23            	1.82 
9             	1.53 
49            	1.7 
80            	1.68 
79            	1.71 
49            	1.7 
17            	1.68 
16            	1.75 
12            	1.36 
0             	0.5 
2             	0.88 
56            	1.76 
23            	1.94 
83            	1.56 
86            	1.5 
4             	1.08 
11            	1.32 
16            	1.51 
63            	1.62 
35            	1.65 
38            	1.49 
48            	1.6 
64            	1.75 
52            	1.69 
