grupo	sexo	notaA	notaB	notaC	suspensos	calificacionA	calificacionB	calificacionC
A	mujer	6.1	5.1	6.7	0	aprobado	aprobado	aprobado
A	mujer	5.3	8.2	3.7	1	aprobado	notable	suspenso
A	mujer	7.1	7	6.3	0	notable	notable	aprobado
A	mujer	4.5	8.4	NA	1	suspenso	notable	NA
A	mujer	8.2	6.4	8.1	0	notable	aprobado	notable
A	mujer	3.2	7.5	3.7	2	suspenso	notable	suspenso
A	mujer	7.6	8.2	7.2	0	notable	notable	notable
A	mujer	8.2	4.4	7.3	1	notable	suspenso	notable
A	hombre	4	5.5	5	1	suspenso	aprobado	aprobado
A	hombre	6.3	4.5	5.1	1	aprobado	suspenso	aprobado
A	hombre	NA	6.2	7	0	NA	aprobado	notable
A	hombre	7.7	4.3	6.7	1	notable	suspenso	aprobado
A	hombre	5.4	7.6	3.8	1	aprobado	notable	suspenso
A	hombre	3.8	7.9	4.1	2	suspenso	notable	suspenso
A	hombre	6.6	7.4	5.2	0	aprobado	notable	aprobado
A	hombre	4	6.8	4	2	suspenso	aprobado	suspenso
A	hombre	8.1	5.8	7.9	0	notable	aprobado	notable
A	hombre	2	8.1	2.3	2	suspenso	notable	suspenso
A	hombre	6.2	5.4	6.7	0	aprobado	aprobado	aprobado
A	hombre	NA	6.5	5.1	0	NA	aprobado	aprobado
B	mujer	4.7	8.6	5.2	1	suspenso	notable	aprobado
B	mujer	8.9	8	8.1	0	notable	notable	notable
B	mujer	6.5	7.2	6.6	0	aprobado	notable	aprobado
B	mujer	5.2	8.4	4.3	1	aprobado	notable	suspenso
B	mujer	8.1	7.5	8.3	0	notable	notable	notable
B	mujer	5.6	7.6	5.3	0	aprobado	notable	aprobado
B	mujer	9	7.2	9	0	sobresaliente	notable	sobresaliente
B	mujer	8.6	7	8	0	notable	notable	notable
B	mujer	NA	8.3	5.6	0	NA	notable	aprobado
B	mujer	5.8	7.6	5.6	0	aprobado	notable	aprobado
B	hombre	4.7	8.5	4.5	2	suspenso	notable	suspenso
B	hombre	7.6	3	7.8	1	notable	suspenso	notable
B	hombre	5.6	8.3	5.3	0	aprobado	notable	aprobado
B	hombre	7.4	7.2	7.5	0	notable	notable	notable
B	hombre	5.7	7.5	4.8	1	aprobado	notable	suspenso
B	hombre	7.5	7.4	6.6	0	notable	notable	aprobado
B	hombre	6.7	8.1	6.7	0	aprobado	notable	aprobado
B	hombre	6.4	7.8	6.2	0	aprobado	notable	aprobado
B	hombre	7.9	7.2	7.6	0	notable	notable	notable
B	hombre	3.9	8.6	NA	1	suspenso	notable	NA
B	hombre	6.6	7.5	6.7	0	aprobado	notable	aprobado
B	hombre	4.5	8.3	5	1	suspenso	notable	aprobado
C	mujer	5.7	6.6	5	0	aprobado	aprobado	aprobado
C	mujer	4.7	7.6	4.6	2	suspenso	notable	suspenso
C	mujer	4.3	5.5	4.1	2	suspenso	aprobado	suspenso
C	mujer	5.5	6.1	5.2	0	aprobado	aprobado	aprobado
C	mujer	6.9	7.2	6.3	0	aprobado	notable	aprobado
C	mujer	7.3	7.1	7.3	0	notable	notable	notable
C	mujer	NA	6.2	4.7	1	NA	aprobado	suspenso
C	hombre	4.6	6.6	4.2	2	suspenso	aprobado	suspenso
C	hombre	3.3	5.5	2.5	2	suspenso	aprobado	suspenso
C	hombre	2.8	4.5	2.1	3	suspenso	suspenso	suspenso
C	hombre	2.1	4.7	2	3	suspenso	suspenso	suspenso
C	hombre	4.1	6.4	3.2	2	suspenso	aprobado	suspenso
C	hombre	3.2	7.1	3.6	2	suspenso	notable	suspenso
C	hombre	5.5	5.1	5.1	0	aprobado	aprobado	aprobado
C	hombre	4.8	5.2	4.2	2	suspenso	aprobado	suspenso
C	hombre	5.7	4.3	5.6	1	aprobado	suspenso	aprobado
C	hombre	4.5	6.3	4.7	2	suspenso	aprobado	suspenso
C	hombre	3.9	5.8	3.6	2	suspenso	aprobado	suspenso
