pulso.antes	pulso.despues	ejercicio	sexo	peso
64	88	correr	hombre	63.5
58	70	correr	hombre	65.8
62	76	correr	hombre	72.6
66	78	correr	hombre	86.2
64	80	correr	hombre	70.3
74	84	correr	hombre	74.8
84	84	correr	hombre	68
68	72	correr	hombre	86.2
62	75	correr	hombre	88.5
76	118	correr	hombre	62.6
90	94	correr	hombre	72.6
80	96	correr	hombre	70.3
92	84	correr	hombre	69.4
68	76	correr	hombre	65.8
60	76	correr	hombre	77.1
62	58	correr	hombre	79.4
66	82	correr	hombre	79.4
70	72	correr	hombre	77.1
68	76	correr	hombre	81.6
72	80	correr	hombre	61.2
70	106	correr	hombre	77.1
74	76	correr	hombre	71.2
66	102	correr	hombre	59
70	94	correr	hombre	83.9
96	140	correr	mujer	63.5
62	100	correr	mujer	54.4
78	104	correr	mujer	59
82	100	correr	mujer	62.6
100	115	correr	mujer	54.9
68	112	correr	mujer	56.7
96	116	correr	mujer	52.6
78	118	correr	mujer	65.8
88	110	correr	mujer	68
62	98	correr	mujer	50.8
80	128	correr	mujer	56.7
62	62	andar	hombre	86.2
60	62	andar	hombre	70.3
72	74	andar	hombre	77.1
62	66	andar	hombre	70.3
76	76	andar	hombre	97.5
68	66	andar	hombre	68
54	56	andar	hombre	65.8
74	70	andar	hombre	70.3
74	74	andar	hombre	70.3
68	68	andar	hombre	68
72	74	andar	hombre	70.3
68	64	andar	hombre	68
82	84	andar	hombre	81.6
64	62	andar	hombre	72.6
58	58	andar	hombre	61.2
54	50	andar	hombre	72.6
70	62	andar	hombre	59
62	68	andar	hombre	70.3
48	54	andar	hombre	68
76	76	andar	hombre	67.1
88	84	andar	hombre	70.3
70	70	andar	hombre	68
90	88	andar	hombre	63.5
78	76	andar	hombre	81.6
70	66	andar	hombre	86.2
90	90	andar	hombre	65.8
92	94	andar	hombre	68
60	70	andar	hombre	74.4
72	70	andar	hombre	63.5
68	68	andar	hombre	64.4
84	84	andar	hombre	61.7
74	76	andar	hombre	55.8
68	66	andar	hombre	70.3
84	84	andar	mujer	59
61	70	andar	mujer	54.4
64	60	andar	mujer	59
94	92	andar	mujer	59.4
60	66	andar	mujer	54.4
72	70	andar	mujer	53.5
58	56	andar	mujer	56.7
88	74	andar	mujer	61.2
66	72	andar	mujer	56.7
84	80	andar	mujer	53.5
62	66	andar	mujer	55.3
66	76	andar	mujer	52.2
80	74	andar	mujer	46.3
78	78	andar	mujer	52.2
68	68	andar	mujer	68
72	68	andar	mujer	49.9
82	80	andar	mujer	52.6
76	76	andar	mujer	49
87	84	andar	mujer	43.1
90	92	andar	mujer	56.7
78	80	andar	mujer	60.3
68	68	andar	mujer	49.9
86	84	andar	mujer	68
76	76	andar	mujer	49
