estatura sexo peso
156 h 71.9
157 h 62.1
169 h 72
184 h 91.2
157 h 65.1
165 h 71
183 h 81.9
164 h 70.1
167 h 76.3
165 h 68.8
178 h 75.9
162 h 76.9
157 h 61.5
164 h 68.7
175 h 82
173 h 81.4
185 h 89.8
167 h 82.2
173 h 70.8
161 h 77.3
167 h 76
174 h 77.8
176 h 74.6
166 h 70.1
158 h 60.9
156 h 68
171 h 78.1
165 h 69.9
165 h 67
184 h 75.7
182 h 90.3
168 h 64.6
172 h 67.7
182 h 87.9
176 h 79.2
174 h 72.9
171 h 81
195 h 96.3
165 h 72.3
159 h 66.3
174 h 78.1
187 h 87.1
155 h 59.8
171 h 66.3
171 h 77.8
171 h 76.1
169 h 84
175 h 75.2
181 h 91.1
158 h 63.4
180 m 91.7
162 m 72.8
164 m 62.6
162 m 62.4
159 m 67.3
163 m 54.7
164 m 70.1
157 m 50.8
159 m 68
169 m 81.4
158 m 67.3
148 m 57.5
156 m 43.1
147 m 59
171 m 90.9
155 m 59.6
150 m 43.2
156 m 47.5
160 m 50.6
168 m 74
165 m 66.8
163 m 58.8
162 m 72.9
163 m 76.8
159 m 64.1
156 m 61.1
167 m 71.5
170 m 63.4
166 m 64.3
162 m 52.2
161 m 51.3
161 m 57
159 m 63
160 m 79.4
163 m 75.1
178 m 78.4
160 m 49
156 m 58
164 m 53
164 m 59.7
159 m 63.6
153 m 60.8
160 m 54.7
161 m 64.3
167 m 55.2
154 m 53.7
167 m 63.5
150 m 51.2
169 m 67.5
152 m 64.1
