sexo estatura peso
Mujer 173 69
Mujer 178 68
Hombre 179 86
Hombre 182 89
Mujer 180 74
Hombre 179 88
Mujer 169 62
Hombre 177 87
Mujer 172 66
Hombre 172 78
Hombre 170 80
Mujer 164 61
Mujer 162 59
Hombre 172 77
Mujer 175 69
Mujer 167 63
Hombre 174 85
Mujer 168 64
Mujer 176 70
Mujer 168 70
Mujer 165 62
Hombre 189 102
Hombre 170 73
Mujer 180 75
Mujer 159 61
Hombre 188 97
Hombre 185 99
Hombre 167 71
Hombre 178 86
Mujer 166 63
Mujer 177 69
Hombre 173 77
Mujer 181 74
Hombre 194 109
Mujer 177 73
Mujer 177 72
Hombre 167 70
Hombre 182 91
Hombre 187 103
Hombre 173 80
Hombre 178 97
Mujer 170 68
Hombre 182 93
Hombre 172 82
Hombre 179 88
Mujer 179 73
Hombre 180 90
Mujer 169 65
Hombre 176 80
Hombre 169 77
Hombre 168 69
Hombre 170 75
Hombre 180 96
Mujer 169 68
Hombre 174 84
Hombre 183 92
Mujer 172 70
Hombre 170 77
Mujer 171 66
Mujer 163 60
Hombre 168 83
Mujer 170 68
Mujer 169 62
Hombre 171 77
Hombre 172 79
Hombre 171 64
Hombre 178 88
Hombre 183 92
Mujer 175 71
Mujer 182 71
Mujer 170 68
Mujer 171 68
Hombre 177 83
Hombre 169 74
Hombre 179 84
Mujer 175 70
Mujer 166 62
Hombre 179 96
Mujer 168 66
Mujer 167 62
Hombre 179 90
Mujer 165 64
Hombre 183 97
Hombre 190 105
Hombre 168 73
Hombre 178 91
Mujer 174 69
Hombre 167 71
Hombre 185 93
Mujer 163 62
Hombre 175 89
Mujer 174 72
Mujer 162 60
Mujer 167 65
Mujer 178 71
Hombre 186 101
Mujer 171 65
Mujer 172 70
Hombre 178 94
Hombre 190 105
