pulse1	pulse2	ran	sex	weight
64	88	1	1	140
58	70	1	1	145
62	76	1	1	160
66	78	1	1	190
64	80	1	1	155
74	84	1	1	165
84	84	1	1	150
68	72	1	1	190
62	75	1	1	195
76	118	1	1	138
90	94	1	1	160
80	96	1	1	155
92	84	1	1	153
68	76	1	1	145
60	76	1	1	170
62	58	1	1	175
66	82	1	1	175
70	72	1	1	170
68	76	1	1	180
72	80	1	1	135
70	106	1	1	170
74	76	1	1	157
66	102	1	1	130
70	94	1	1	185
96	140	1	2	140
62	100	1	2	120
78	104	1	2	130
82	100	1	2	138
100	115	1	2	121
68	112	1	2	125
96	116	1	2	116
78	118	1	2	145
88	110	1	2	150
62	98	1	2	112
80	128	1	2	125
62	62	2	1	190
60	62	2	1	155
72	74	2	1	170
62	66	2	1	155
76	76	2	1	215
68	66	2	1	150
54	56	2	1	145
74	70	2	1	155
74	74	2	1	155
68	68	2	1	150
72	74	2	1	155
68	64	2	1	150
82	84	2	1	180
64	62	2	1	160
58	58	2	1	135
54	50	2	1	160
70	62	2	1	130
62	68	2	1	155
48	54	2	1	150
76	76	2	1	148
88	84	2	1	155
70	70	2	1	150
90	88	2	1	140
78	76	2	1	180
70	66	2	1	190
90	90	2	1	145
92	94	2	1	150
60	70	2	1	164
72	70	2	1	140
68	68	2	1	142
84	84	2	1	136
74	76	2	1	123
68	66	2	1	155
84	84	2	2	130
61	70	2	2	120
64	60	2	2	130
94	92	2	2	131
60	66	2	2	120
72	70	2	2	118
58	56	2	2	125
88	74	2	2	135
66	72	2	2	125
84	80	2	2	118
62	66	2	2	122
66	76	2	2	115
80	74	2	2	102
78	78	2	2	115
68	68	2	2	150
72	68	2	2	110
82	80	2	2	116
76	76	2	2	108
87	84	2	2	95
90	92	2	2	125
78	80	2	2	133
68	68	2	2	110
86	84	2	2	150
76	76	2	2	108
